folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,n_frames,scale_m_per_px,torso_px_median,torso_m_prior,D_x,D_y,D_z,replace_rate,align_mirrored,align_hip_rmse_m,window,k_sigma
CapturedFrames_2.0_1.5_4.0,2.0,1.5,4.0,Y=1.5,1,NE,54,0.003393614576607566,154.09237601557066,0.5229301333905347,0.9652266760955899,-0.25850004324234366,0.03892545949845072,0.0787037037037037,True,0.5394533573304039,7,5.0
CapturedFrames_2.0_1.5_5.0,2.0,1.5,5.0,Y=1.5,0,N,32,0.003833133387332344,136.42376170520447,0.5229304758176909,0.9673311468029031,-0.2534972458495672,-0.003098188448820933,0.08854166666666667,False,0.3349215543162226,7,5.0
CapturedFrames_2.0_1.5_6.0,2.0,1.5,6.0,Y=1.5,0,N,18,0.003941933356187605,132.65830047283532,0.5229301796090275,0.9533900899898796,-0.2946673920816126,-0.06494970633428883,0.046296296296296294,True,0.19812609833575395,7,5.0
CapturedFrames_3.0_1.5_-1.0,3.0,1.5,-1.0,Y=1.5,2,E,86,0.00310142350385781,168.60962136011153,0.5229298426628157,0.9976055486027838,0.04800394705426062,0.04978745287871863,0.07751937984496124,True,0.654915001849986,7,5.0
CapturedFrames_3.0_1.5_-2.0,3.0,1.5,-2.0,Y=1.5,3,SE,81,0.0034039605409035595,153.62408201908414,0.5229303133254944,0.9942433558749385,0.09980332248957619,0.03898007335269908,0.08333333333333333,False,0.6852445209269014,7,5.0
CapturedFrames_3.0_1.5_-3.0,3.0,1.5,-3.0,Y=1.5,3,SE,58,0.003471068408256479,150.653821769643,0.52292972132771,0.9910414076675871,0.13313041610849252,-0.010640516671073635,0.09770114942528736,False,0.4529771660530743,7,5.0
CapturedFrames_3.0_1.5_-4.0,3.0,1.5,-4.0,Y=1.5,3,SE,46,0.0034427436838016822,151.89350586230333,0.5229304079179385,0.9871963139622176,0.15754592999747738,-0.024954311063231052,0.06884057971014493,True,0.35148355550459376,7,5.0
CapturedFrames_3.0_1.5_-5.0,3.0,1.5,-5.0,Y=1.5,3,SE,32,0.004148379185495818,126.05635885641534,0.5229295752793448,0.9822322914221134,0.1862824869518307,0.022771928831467888,0.08072916666666667,False,0.2536668829597014,7,5.0
CapturedFrames_3.0_1.5_-6.0,3.0,1.5,-6.0,Y=1.5,3,SE,17,0.005185862932772073,100.83767044956122,0.5229303374114653,0.9782281866067946,0.19527296718418427,-0.07027149646241253,0.12254901960784313,False,0.14960153405252055,7,5.0
CapturedFrames_3.0_1.5_0.0,3.0,1.5,0.0,Y=1.5,2,E,88,0.0027953743192116612,187.06992505517042,0.5229304643960735,0.9993827212378481,0.0028003245113779936,0.035019061578868124,0.10037878787878787,True,0.699721213539532,7,5.0
CapturedFrames_3.0_1.5_1.0,3.0,1.5,1.0,Y=1.5,2,E,96,0.0029668871911273202,176.2556561389294,0.5229306485623311,0.9971542112998312,-0.05226917058474929,0.05432690579624392,0.0876736111111111,True,0.7927274500072495,7,5.0
CapturedFrames_3.0_1.5_2.0,3.0,1.5,2.0,Y=1.5,1,NE,93,0.0034928378625231323,149.7148818355146,0.5229298078582622,0.9950519818153951,-0.0933719336439014,0.0339593211483006,0.08781362007168458,True,0.799032890907052,7,5.0
CapturedFrames_3.0_1.5_3.0,3.0,1.5,3.0,Y=1.5,1,NE,60,0.003218404313450974,162.48121769190658,0.5229302518743989,0.9901929240145894,-0.13917127781012034,0.012220010807526554,0.08472222222222223,True,0.5688352565198121,7,5.0
CapturedFrames_3.0_1.5_4.0,3.0,1.5,4.0,Y=1.5,1,NE,39,0.003840059333961493,136.17763907059026,0.5229302139898594,0.9797962585040212,-0.16705961848138826,0.10995624445375647,0.08974358974358974,False,0.35268908181417274,7,5.0
CapturedFrames_3.0_1.5_5.0,3.0,1.5,5.0,Y=1.5,1,NE,24,0.0038595524385785034,135.48997171927311,0.522930650752053,0.9852229047900225,-0.1567863321687449,-0.06894834241794587,0.1284722222222222,False,0.26001223252927114,7,5.0
CapturedFrames_3.0_1.5_6.0,3.0,1.5,6.0,Y=1.5,1,NE,10,0.004246569254293422,123.14188318263992,0.5229305350391908,0.9754889790767697,-0.1756270376943158,-0.13257599831975975,0.1,False,0.1793012801249592,7,5.0
CapturedFrames_4.0_1.5_-1.0,4.0,1.5,-1.0,Y=1.5,2,E,99,0.0037970499359204894,137.71999291574463,0.5229296902756984,0.9988722929457479,0.025734187555977412,0.03989854604039865,0.0765993265993266,False,0.7381171268691011,7,5.0
CapturedFrames_4.0_1.5_-2.0,4.0,1.5,-2.0,Y=1.5,3,SE,59,0.0034009918530386878,153.7659912086686,0.5229568833751004,0.9977623618823919,0.05464630120458298,0.038523382192235896,0.09463276836158192,False,0.47786334262945585,7,5.0
CapturedFrames_4.0_1.5_-3.0,4.0,1.5,-3.0,Y=1.5,3,SE,45,0.0036572959290414905,142.9827479037412,0.5229302218315184,0.99371312687057,0.09548169055282776,0.058459116092259865,0.10555555555555556,False,0.28696088044489143,7,5.0
CapturedFrames_4.0_1.5_-4.0,4.0,1.5,-4.0,Y=1.5,3,SE,36,0.0035650774202510708,146.68125831353188,0.5229300419875872,0.9930450026527253,0.10809602012131744,0.04665697311635446,0.0787037037037037,False,0.3044044301668174,7,5.0
CapturedFrames_4.0_1.5_-5.0,4.0,1.5,-5.0,Y=1.5,3,SE,22,0.004245365441580429,123.1766134254442,0.5229297378472928,0.9945487924973421,0.10380274517790851,-0.009883796619162617,0.11363636363636363,False,0.2218919369406198,7,5.0
CapturedFrames_4.0_1.5_-6.0,4.0,1.5,-6.0,Y=1.5,3,SE,5,0.004685934323123349,111.60251584387572,0.5229620595397346,0.9546980622850096,-0.11049951358162244,-0.2762995971178256,0.11666666666666667,False,0.037103620878724,7,5.0
CapturedFrames_4.0_1.5_0.0,4.0,1.5,0.0,Y=1.5,2,E,104,0.0035877878158440827,145.7528225849237,0.5229302009950735,0.9989949508288124,-0.0013801582858389584,0.04480160021299159,0.0921474358974359,False,0.8075529448432492,7,5.0
CapturedFrames_4.0_1.5_1.0,4.0,1.5,1.0,Y=1.5,2,E,105,0.00366308702527793,142.75668435736395,0.5229301582411567,0.99805145864298,-0.03813501926836755,0.04938629573091229,0.08412698412698413,True,0.8518752512073181,7,5.0
CapturedFrames_4.0_1.5_2.0,4.0,1.5,2.0,Y=1.5,1,NE,65,0.003682116486065993,142.01888845470378,0.5229300905118321,0.9971566360549724,-0.06738945025503873,0.03372395537084736,0.09871794871794871,False,0.5706395813372553,7,5.0
CapturedFrames_4.0_1.5_3.0,4.0,1.5,3.0,Y=1.5,1,NE,37,0.0038387305746983304,136.22467247722332,0.5229298152665833,0.9946038487924777,-0.10092585118066846,-0.02402408230604741,0.07657657657657657,False,0.32313444956712867,7,5.0
CapturedFrames_4.0_1.5_4.0,4.0,1.5,4.0,Y=1.5,1,NE,26,0.0041451967827887855,126.15336795435287,0.5229305349823534,0.992674829231365,-0.11376073835200785,0.0406838766600045,0.11858974358974358,True,0.2074950483723058,7,5.0
CapturedFrames_4.0_1.5_5.0,4.0,1.5,5.0,Y=1.5,1,NE,9,0.0038727933002337266,135.02678829998686,0.5229308410802669,0.9908437258714226,-0.13159212706633028,-0.030203029573139334,0.07407407407407407,False,0.10434793852830014,7,5.0
CapturedFrames_5.0_1.5_-1.0,5.0,1.5,-1.0,Y=1.5,2,E,45,0.004085883087196462,127.9846159818022,0.5229301778613796,0.9977199195516849,0.019410193813791443,0.06463904784176802,0.08148148148148149,False,0.5771867390707698,7,5.0
CapturedFrames_5.0_1.5_-2.0,5.0,1.5,-2.0,Y=1.5,2,E,35,0.0038516798264154645,135.76660291113177,0.5229294855337653,0.9967123515875784,0.031784613756550936,0.07452668328260695,0.1,False,0.323803203598864,7,5.0
CapturedFrames_5.0_1.5_-3.0,5.0,1.5,-3.0,Y=1.5,3,SE,30,0.0038129757493067626,137.14481432061606,0.5229298511476879,0.9984865733056901,0.04523539358944085,0.0312781408505882,0.075,False,0.35069115594967387,7,5.0
CapturedFrames_5.0_1.5_-4.0,5.0,1.5,-4.0,Y=1.5,3,SE,19,0.003933642665733687,132.93804984498087,0.5229307847696483,0.9913481907443439,0.1050804647156989,0.07865659948820983,0.08333333333333333,False,0.14317957697783143,7,5.0
CapturedFrames_5.0_1.5_-5.0,5.0,1.5,-5.0,Y=1.5,3,SE,12,0.004484892133571039,116.59807446268931,0.5229297869472455,0.9922498623373349,-0.0028117380457636345,-0.12422682810368237,0.13194444444444445,False,0.07683411361534856,7,5.0
CapturedFrames_5.0_1.5_0.0,5.0,1.5,0.0,Y=1.5,2,E,44,0.00439754551241897,118.91402070578887,0.5229298181184383,0.9974056755495829,-0.003922211764930164,0.07187861042306516,0.07765151515151515,False,0.8399334691280016,7,5.0
