joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
R_Knee,angle_mae,0,6,Y=0.5,8,1,Model4_ViewBin,12.179723258526538,12.249596901073282,1.7167014680892687,11,0.10346516634810186
L_Shoulder,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,35.5298239988417,35.5154009889863,2.1505437653552457,10,0.09277338661084185
R_Shoulder,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,30.84918242999806,30.506930780495175,5.843302087322476,10,0.08202859224367617
L_Elbow,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,8.000388514497075,7.796875463418166,3.593967990363327,10,0.08841535694188726
R_Elbow,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,10.45667264704404,11.069562344875752,1.8851459447877037,10,0.09359775615286879
L_Hip,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,18.281962718763538,20.237277647093634,7.347408738110185,10,0.07801733019721128
R_Hip,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,42.02800726638625,40.47587330435741,4.584332197714011,10,0.0855442285669046
L_Knee,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,17.206698592169268,16.90908908529525,2.8086265266896855,10,0.090760459654766
R_Knee,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,14.510510750526,14.17031711315838,2.014867014615206,10,0.09319390986958277
L_Shoulder,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,33.20802672814283,30.898098676340773,7.057542327980962,14,0.10993479241287611
R_Shoulder,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,35.52009343275838,35.4396746971034,2.6889666492935502,14,0.12716768667533468
L_Elbow,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,16.14923099880081,17.038169926911227,3.2290581821899638,14,0.12489876534889059
R_Elbow,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,7.681338099989581,8.19891418941478,1.5373832362897009,14,0.13214406075463006
L_Hip,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,43.45672591841372,46.83830494943777,8.42790882620281,14,0.10502606006921822
R_Hip,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,19.441052891665812,17.373918626781574,6.279090188029188,14,0.11282475773392056
L_Knee,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,16.70579494046283,15.76294859178276,3.4156994150980053,14,0.12412413549349928
R_Knee,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,23.950827992943427,23.5820853063211,2.7713990187601603,14,0.12681874184296346
L_Shoulder,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,41.56115064598819,37.58211900006971,8.712407306207817,12,0.08932614559909723
R_Shoulder,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,40.862904419061216,39.75839943862016,2.5007709695841376,10,0.09169662523141509
L_Elbow,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,12.303485202154137,13.061317726231419,3.434985053047271,12,0.10650674367101969
R_Elbow,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,19.226653455046765,15.732091939262652,11.682935978656378,10,0.06751929503099136
L_Hip,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,43.7543609264446,47.514207008836465,9.882891296253504,12,0.0859080979085891
R_Hip,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,14.482059571464637,13.771615992600758,5.444381033358535,12,0.09960660104922675
L_Knee,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,12.922608233413477,14.151168177159438,3.2822663892780093,12,0.10705031163257325
R_Knee,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,21.441861329349845,22.21505911909273,3.3406064591453206,12,0.1068423364975153
L_Shoulder,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,39.17204633191425,40.66425704982595,4.298848649165414,12,0.10348356944663102
R_Shoulder,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,43.74615576747987,43.95353835800917,1.890779810993638,12,0.11213256776099982
L_Elbow,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,11.952422452676204,11.815715029411043,1.2072762478843677,12,0.11471666024199173
R_Elbow,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,30.75086318979027,31.808181644353265,7.0012961653574655,12,0.09456914564855089
L_Hip,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,35.26521646515115,36.51848580617663,4.788956355894657,12,0.10180670101430123
R_Hip,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,23.60687741092896,23.94786191676244,5.601814257675917,12,0.09908525724738512
L_Knee,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,14.801196355879265,14.871765472196884,1.3570381124607784,12,0.11414541457738107
R_Knee,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,19.902929284752616,18.903044414736765,2.680373062458892,12,0.10921976411727997
L_Shoulder,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,31.061030557819798,29.78618275792535,4.958858471632212,15,0.12620141208543348
R_Shoulder,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,39.54371485736765,41.318209563928825,6.142667058802153,15,0.12131844350491423
L_Elbow,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,19.22819053472322,19.23930936128132,8.867283524374207,15,0.11078576642794724
R_Elbow,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,27.076140367033066,29.571077777083115,6.002798216656762,15,0.12188538644628841
L_Hip,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,28.032008775521238,30.46957774085208,6.480839472467025,15,0.11995857073338496
R_Hip,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,31.228320287040535,31.972935142089987,4.518417936875612,15,0.1280678869945477
L_Knee,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,17.023880621336755,15.932712699502776,3.4584964934069973,15,0.1326734976681723
R_Knee,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,19.02022069787662,18.52892882989989,2.889322482877425,15,0.13521467116688007
L_Shoulder,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,43.4210075782172,41.53219386049027,6.941287351355878,13,0.10257015271188306
R_Shoulder,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,33.109133688844615,32.07188074772009,4.5766747141777016,14,0.11941239196795662
L_Elbow,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,30.194789179379548,27.678733087127565,6.997885711994049,13,0.10237682505323817
R_Elbow,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,14.42818457060759,12.976600820036964,4.746172015780609,14,0.1187396250200862
L_Hip,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,32.25751030509339,32.41436065257795,8.06010927705116,14,0.10632160343095785
R_Hip,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,36.266389893224876,35.08911284020992,6.189844649997491,14,0.11316089433780355
L_Knee,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,20.241040705452324,20.70357936177656,4.37292048610336,14,0.12022617837165976
R_Knee,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,19.914739794356258,19.7081712840701,3.5758419101473673,14,0.12346331585930126
L_Shoulder,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,46.709393807858284,46.0787178799369,2.4171393019731555,10,0.09195260659085026
R_Shoulder,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,42.01460263512136,42.78440509910009,2.8868511547820823,10,0.09052411115317126
L_Elbow,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,26.839804803597644,27.96292933930723,3.846264769649707,10,0.08767491118078044
R_Elbow,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,10.432479323338523,9.328760212429735,2.634521564255721,10,0.0912887192630355
L_Hip,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,13.911926660473643,13.509376240197536,4.574613817125189,10,0.08557194476828514
R_Hip,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,38.7364489500755,38.23463745753724,2.0178047433950335,10,0.09318478436868988
L_Knee,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,19.333236485332314,17.79813752335906,3.4804758278603463,10,0.08875047209319731
R_Knee,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,13.21617233958516,12.717865358049117,3.065508029151095,10,0.0899866213540024
L_Shoulder,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,42.858377716532935,42.094257767596034,4.301019996816237,11,0.09492537419117626
R_Shoulder,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,41.432887646092986,42.1564307422218,3.6468473885607646,12,0.10575723441698466
L_Elbow,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,21.200447831132667,23.070038341579725,6.332818479739271,11,0.08870927341899518
R_Elbow,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,9.579090259668357,9.104281491258014,1.1380734471143723,12,0.1149815894947437
L_Hip,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,14.190907740610797,14.090407084855421,4.949090926373695,12,0.10126472304667487
R_Hip,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,41.61173235929466,40.93128202267745,7.623467438203437,12,0.09262806972469
L_Knee,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,16.553739945064336,17.932448080504994,5.612850945239479,12,0.09904881151758524
R_Knee,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,12.795693488304442,12.77301286337881,1.700677297614955,12,0.11284537993097266
L_Shoulder,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,35.94239162720043,35.67675155786743,1.8511499814824108,12,0.11228079212598457
R_Shoulder,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,30.022246110499037,29.031869024713714,4.926482743215241,12,0.10134106552267746
L_Elbow,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,8.1344296626207,7.054271606731234,2.5104651411191763,12,0.10984009588347834
R_Elbow,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,9.348573004771584,9.449258567741612,2.067735267167238,12,0.11147309896041688
L_Hip,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,14.410043879649763,14.457237847084802,1.9118733503974652,12,0.11205375304771718
R_Hip,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,50.24088536560817,49.80448047980674,5.350230554217523,12,0.09991969239440003
