joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Hip,0,0,169.53318655252025,-22.8663366028355,69,-18.085273730126357,171.53000349747714,564,187.6184602826466,-10.667689375686717,0.906924948670916,12
L_Hip,0,1,108.68617154959969,-32.82929349528426,478,-3.1127634673721625,115.40542784703372,419,111.79893501697185,-2.8639921923753016,0.8323365540417422,13
L_Hip,0,2,41.442883223735585,-9.715763412637443,424,-22.753754019288543,43.03538443807827,491,64.19663724302413,-54.903887590178044,0.9527340389856568,12
L_Hip,0,3,2.889570653086223,0.9414335623046702,87,6.5498937585103185,8.676923700206608,263,3.6603231054240957,-26.673597737250905,0.7318319559956767,9
L_Hip,0,4,21.653361889814366,-13.455921790310661,62,-7.497310950517059,9.873335515388748,294,29.150672840331424,-34.62423520499029,0.3650072756381396,11
L_Hip,0,5,33.443467983677586,16.130186229831793,149,27.781698126132422,49.783631600826745,290,5.661769857545163,83.07062574877567,0.8661381060053641,9
L_Hip,0,6,116.95457929142616,13.972972549686107,55,27.25016248845851,97.99380659220583,471,89.70441680296764,23.29978240574647,0.7159331630496978,10
L_Hip,0,7,169.1227414248471,54.15561552371573,18,-73.59880774785496,168.70467478167217,415,242.72154917270205,-43.517984114844765,0.8245723152136439,10
L_Hip,1,0,172.74081315987584,-96.60100564477598,273,-85.2710870381413,173.20941045731806,502,258.01190019801714,-49.363601732742126,0.9340072200427612,14
L_Hip,1,1,109.11459508905006,-73.05612795425294,90,-84.61346611329395,108.34608710017861,767,193.728061202344,-77.54550712875728,0.5277952309507905,12
L_Hip,1,2,8.695317799203215,-6.961871755910193,55,-30.890188860722244,37.42534230468639,740,39.58550665992546,-200.0,0.8713111571599481,12
L_Hip,1,3,5.481461483646166,-3.4257270398342436,80,0.4318102688585952,7.242153894858357,371,5.049651214787571,7.877648509378256,0.6587793287535171,15
