model,joint,raw_mae,corr_mae,improvement_pct,split
Model4_ViewBin,R_Elbow,15.593171085230308,14.178096569562085,9.07496305872362,unknown_view
Model4_ViewBin,L_Hip,26.655655376589294,24.306162444450425,8.814238100490842,unknown_view
Model4_ViewBin,R_Hip,43.46587560697684,40.26675264824627,7.360079404950648,unknown_view
Model4_ViewBin,L_Knee,17.72560464863967,16.15005997396107,8.888524289632699,unknown_view
Model4_ViewBin,R_Knee,17.7180111268032,15.925759119015272,10.115424327037882,unknown_view
Model5_Linear,L_Shoulder,40.53735784364273,-0.8999787983882157,102.2201219967506,unknown_view
Model5_Linear,R_Shoulder,37.18659562354743,-3.016365436667201,108.11143205256779,unknown_view
Model5_Linear,L_Elbow,18.061197936124543,-1.2921918466882607,107.15451904828375,unknown_view
Model5_Linear,R_Elbow,15.593171085230308,-0.6825024191850351,104.3769315135104,unknown_view
Model5_Linear,L_Hip,26.655655376589294,-3.244368363949697,112.17140722339587,unknown_view
Model5_Linear,R_Hip,43.46587560697684,6.074873631380243,86.02380937563548,unknown_view
Model5_Linear,L_Knee,17.72560464863967,0.17603334330440412,99.00689794907554,unknown_view
Model5_Linear,R_Knee,17.7180111268032,-2.277515152487707,112.85423705961195,unknown_view
