camera,joint,status,lag,mae_raw,mae_corr
CapturedFrames_-2.0_0.5_3.0,L_Hip,ok,-3.0,13.850400491372636,13.150874599899614
CapturedFrames_-2.0_0.5_3.0,R_Hip,ok,-19.0,22.054955835715948,37.333627359494265
CapturedFrames_-2.0_0.5_4.0,L_Elbow,ok,1.0,12.087812068410717,16.322849610489794
CapturedFrames_-2.0_0.5_4.0,R_Elbow,ok,-8.0,27.32091175149517,54.390855179734075
CapturedFrames_-2.0_0.5_4.0,L_Knee,ok,-14.0,22.66008975684217,34.74843950414216
CapturedFrames_-2.0_0.5_4.0,R_Knee,ok,1.0,11.840242579471672,20.782465831410587
CapturedFrames_-2.0_0.5_4.0,L_Shoulder,ok,1.0,25.028036741173707,6.874272498251355
CapturedFrames_-2.0_0.5_4.0,R_Shoulder,ok,-9.0,39.474817331027005,9.709519886458853
CapturedFrames_-2.0_0.5_4.0,L_Hip,ok,-6.0,14.619957716747422,14.560743182563822
CapturedFrames_-2.0_0.5_4.0,R_Hip,ok,-17.0,22.343048275112046,34.549013783010686
CapturedFrames_-2.0_0.5_5.0,L_Elbow,ok,2.0,11.145028570698537,15.43220055747615
CapturedFrames_-2.0_0.5_5.0,R_Elbow,ok,17.0,33.09102086298826,60.16096429122716
CapturedFrames_-2.0_0.5_5.0,L_Knee,ok,2.0,19.422585310057805,33.79768775060857
CapturedFrames_-2.0_0.5_5.0,R_Knee,ok,0.0,12.292728657134173,20.75613399947264
CapturedFrames_-2.0_0.5_5.0,L_Shoulder,ok,1.0,23.330998073617096,8.357343270428164
CapturedFrames_-2.0_0.5_5.0,R_Shoulder,ok,17.0,42.63570523527713,8.277479506923726
CapturedFrames_-2.0_0.5_5.0,L_Hip,ok,-7.0,11.273299112319302,11.16749047087831
CapturedFrames_-2.0_0.5_5.0,R_Hip,ok,-15.0,20.10036057902894,33.69317160386769
CapturedFrames_-2.0_0.5_6.0,L_Elbow,ok,9.0,19.70147388706692,28.309171512509998
CapturedFrames_-2.0_0.5_6.0,R_Elbow,ok,5.0,27.710821095143256,54.78076452338216
CapturedFrames_-2.0_0.5_6.0,L_Knee,ok,8.0,29.430735454034416,36.74948043535433
CapturedFrames_-2.0_0.5_6.0,R_Knee,ok,12.0,12.495488378124849,19.445485162838363
CapturedFrames_-2.0_0.5_6.0,L_Shoulder,ok,7.0,25.97915248362555,6.286381551111866
CapturedFrames_-2.0_0.5_6.0,R_Shoulder,ok,8.0,39.07147927640433,7.9517550679718045
CapturedFrames_-2.0_0.5_6.0,L_Hip,ok,12.0,21.802344447337795,20.091303111827056
CapturedFrames_-2.0_0.5_6.0,R_Hip,ok,8.0,10.76032782529175,22.232655286367997
CapturedFrames_-3.0_0.5_-1.0,L_Elbow,ok,0.0,13.48713340878853,17.97951904103484
CapturedFrames_-3.0_0.5_-1.0,R_Elbow,ok,0.0,5.138206097838001,15.39739987372658
CapturedFrames_-3.0_0.5_-1.0,L_Knee,ok,2.0,13.457242212738304,14.313553067967995
CapturedFrames_-3.0_0.5_-1.0,R_Knee,ok,1.0,14.694187668432747,12.06721201793334
CapturedFrames_-3.0_0.5_-1.0,L_Shoulder,ok,-8.0,33.86845198298709,12.277304020672755
CapturedFrames_-3.0_0.5_-1.0,R_Shoulder,ok,0.0,35.37111234347116,4.96491574615286
CapturedFrames_-3.0_0.5_-1.0,L_Hip,ok,6.0,13.750498469443968,21.323216896625162
CapturedFrames_-3.0_0.5_-1.0,R_Hip,ok,5.0,14.578975691441036,10.129292833041692
CapturedFrames_-3.0_0.5_-2.0,L_Elbow,ok,3.0,16.005699352592334,20.91029165756408
CapturedFrames_-3.0_0.5_-2.0,R_Elbow,ok,15.0,5.887965953121338,13.75916249202308
CapturedFrames_-3.0_0.5_-2.0,L_Knee,ok,1.0,12.267085623010498,12.822377675671556
CapturedFrames_-3.0_0.5_-2.0,R_Knee,ok,1.0,15.137518606862574,12.45483881904382
CapturedFrames_-3.0_0.5_-2.0,L_Shoulder,ok,-15.0,31.808761343889728,12.817546026174908
CapturedFrames_-3.0_0.5_-2.0,R_Shoulder,ok,19.0,35.149997324116995,3.111164127312351
CapturedFrames_-3.0_0.5_-2.0,L_Hip,ok,7.0,14.02888234909676,21.67257618806079
CapturedFrames_-3.0_0.5_-2.0,R_Hip,ok,-2.0,12.446389645124402,6.7126735575745595
CapturedFrames_-3.0_0.5_-3.0,L_Elbow,ok,2.0,16.15509656732801,22.735310773144487
CapturedFrames_-3.0_0.5_-3.0,R_Elbow,ok,20.0,4.808873695557676,13.84666081869463
CapturedFrames_-3.0_0.5_-3.0,L_Knee,ok,1.0,12.49131796293649,12.748263066191365
CapturedFrames_-3.0_0.5_-3.0,R_Knee,ok,1.0,16.54515631140532,12.546955154098853
CapturedFrames_-3.0_0.5_-3.0,L_Shoulder,ok,-14.0,35.17298171290145,12.93886995688591
