joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
R_Elbow,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,6.583041451280562,6.687507680723629,2.313220479115685,10,0.09227167912035152
L_Hip,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,13.221835204974777,12.883131392512583,4.231182559643612,10,0.08655717601542558
R_Hip,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,15.405416447023683,15.74976075760026,4.797036157514646,10,0.08493985377544122
L_Knee,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,15.725431293843371,17.734761296719054,4.533791816064914,10,0.08568846462720493
R_Knee,angle_mae,0,7,Y=0.5,8,1,Model4_ViewBin,13.635966874462667,14.060194925409576,4.255446525211465,10,0.0864871969741082
L_Shoulder,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,29.52869172579699,26.55062351820781,7.63485065660592,14,0.10783947543025817
R_Shoulder,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,30.337703244131355,30.339127617535752,2.8934890588534192,13,0.11738669740008498
L_Elbow,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,14.459114530215617,15.69186379201263,5.122334340463787,14,0.11726007447816315
R_Elbow,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,7.0118639671260645,7.116412030500577,1.241188190183911,13,0.12403332587414176
L_Hip,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,16.071596116497304,17.730689185066716,4.787402475677431,14,0.11857654746354751
R_Hip,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,15.559614807989549,14.36770187559775,4.392550754723597,14,0.12014753503174323
L_Knee,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,16.133063885834442,14.298222711613604,4.560591032118705,14,0.11947642883044228
R_Knee,angle_mae,1,0,Y=1.0,8,1,Model4_ViewBin,19.060269655070716,18.87981941233199,3.1073662976414216,14,0.12540643317478953
L_Shoulder,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,39.305541104792795,35.4370656248585,9.764646033495975,12,0.08624737361878632
R_Shoulder,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,34.94289211437582,34.5086134552288,2.207141239537663,10,0.09259852696116284
L_Elbow,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,12.138512428950582,13.076386151700122,3.277428107909729,12,0.10706757767577675
R_Elbow,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,14.651706475497335,11.96289132934523,8.588605600759612,10,0.07485536277587336
L_Hip,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,15.949145904179844,19.12310085860171,5.947010902695732,12,0.09795166169868397
R_Hip,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,21.919211720056452,21.84105235810975,3.7467175703887534,12,0.10540575330859406
L_Knee,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,10.545572029315009,11.033415269103893,2.0816836807929677,12,0.11142128191102957
R_Knee,angle_mae,1,1,Y=1.0,8,1,Model4_ViewBin,12.673812340344577,14.142526492317375,4.581044844037601,12,0.10251471107535247
L_Shoulder,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,36.98247381451226,36.895175560439775,6.1789866432152625,12,0.09719716888329959
R_Shoulder,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,38.288526098523285,38.42730357826984,3.521105574072358,12,0.10620143489461323
L_Elbow,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,8.582413209007798,8.56245821165406,2.3962344993910434,12,0.11025912997409132
R_Elbow,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,24.804016566598275,24.343009775941987,6.487845762375088,12,0.0962016279759297
L_Hip,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,13.024360899906071,14.194668974150993,3.7720341487868243,12,0.10531684039614111
R_Hip,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,21.954647111966796,21.869854738841234,2.059763638556176,12,0.11150272363435876
L_Knee,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,11.204008946082302,11.638047730756497,2.4719741427752244,12,0.10998111482842449
R_Knee,angle_mae,1,2,Y=1.0,8,1,Model4_ViewBin,10.066199413606606,10.191509747691022,1.7915157445419263,12,0.11250420675047933
L_Shoulder,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,28.30799099994675,25.724753206219987,5.887559010064408,15,0.12235448602148996
R_Shoulder,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,36.182406517376826,36.8211800167059,3.7828755660404894,15,0.13124667522048233
L_Elbow,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,14.061524639684956,13.554436452622337,6.630036298458557,15,0.11936347047762698
R_Elbow,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,24.703535423299,25.894056747385527,5.185327411842059,15,0.12525230896399892
L_Hip,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,13.00536714889799,12.959200276702392,6.061241174460395,15,0.1216481728291672
R_Hip,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,15.998688077809106,16.455009376128405,7.034393102228952,15,0.1177654166893593
L_Knee,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,19.145079713253917,18.73546137311848,3.436829061360968,15,0.13276935541369295
R_Knee,angle_mae,1,3,Y=1.0,8,1,Model4_ViewBin,10.549720284641678,11.004569860746312,3.5627554447566383,15,0.13221321794482782
L_Shoulder,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,36.38593703531178,36.940366036917,5.98076387111649,14,0.11395230788802217
R_Shoulder,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,28.31721260535734,26.85341895032685,7.343528930194819,15,0.1165581306418717
L_Elbow,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,24.161739715339596,23.166723867488912,5.590082313661266,14,0.11544598146126653
R_Elbow,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,13.465254578568029,12.885012209568522,7.20781139162465,15,0.11708662459186879
L_Hip,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,15.955335155088118,16.25561073466938,6.339083026136694,15,0.12052674206517357
R_Hip,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,14.253300675421047,14.933441111458524,5.396361694382969,15,0.1243743163216963
L_Knee,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,16.620017081968935,15.036446663009007,5.526653071253264,15,0.12383532423855262
R_Knee,angle_mae,1,4,Y=1.0,8,1,Model4_ViewBin,15.268175114566828,15.975883289441384,4.045286262404317,15,0.1301036637673511
L_Shoulder,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,41.350296357047114,41.34320536615479,1.7101085284003261,10,0.09414545604591365
R_Shoulder,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,36.35981869615978,37.1994005875218,2.874815536226468,11,0.0995471296418463
L_Elbow,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,19.20257465412137,19.834224720352484,2.9037345642928143,10,0.09047318029798378
R_Elbow,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,5.414861790170727,5.820133103737872,1.740017699741715,11,0.10338478366295223
L_Hip,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,25.862211886219185,24.157384577170685,6.889175708551409,11,0.08707929941395588
R_Hip,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,16.071199735629506,16.43860292940364,3.1497634891940582,11,0.09863895502731423
L_Knee,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,11.335841371796718,12.39976793169949,3.0207580630738726,11,0.09906403367733528
R_Knee,angle_mae,1,5,Y=1.0,8,1,Model4_ViewBin,14.72524551548239,14.036258162919797,4.036676635396136,11,0.09576549986613439
L_Shoulder,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,39.4476366711096,38.556437410041255,3.721691368193013,11,0.09677628768707727
R_Shoulder,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,36.28611161299519,36.26724571880889,3.5743557777396235,11,0.09725274309299684
L_Elbow,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,15.29341259699781,16.807183382036087,6.238642910288038,11,0.08898818584689035
R_Elbow,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,5.692078799610317,5.601643107761222,0.6741559091513984,11,0.10712394383278742
L_Hip,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,24.72400753006963,24.653093708626283,2.4821145302232153,11,0.10085877089201137
R_Hip,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,15.880814554879093,16.841709487667178,4.540787343023128,11,0.0941697310208359
L_Knee,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,13.027750076167344,13.56322451781612,2.8780112823959803,11,0.09953652596135955
R_Knee,angle_mae,1,6,Y=1.0,8,1,Model4_ViewBin,13.920661442028136,14.257327689377885,1.3691948875480482,11,0.10467062884377278
L_Shoulder,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,33.123054538395586,32.94679955554719,2.2915363704613814,12,0.1106445997023622
R_Shoulder,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,26.683157321482994,26.89990366449332,5.759627563413664,12,0.09856539340352817
L_Elbow,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,6.093080379331518,5.8974165432746775,2.88114217863014,12,0.10849127262904801
R_Elbow,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,6.063632545412894,5.893949670553377,1.4570023725402752,12,0.11376569883178769
L_Hip,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,24.2280545282089,24.927630394343673,3.447379192890776,12,0.10646275077670234
R_Hip,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,21.28858901334848,20.668660415938,4.976230214594873,12,0.10117315605378972
L_Knee,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,18.97546478528628,17.636099875838465,3.624877391207059,12,0.10583471232202064
R_Knee,angle_mae,1,7,Y=1.0,8,1,Model4_ViewBin,15.048030497366504,14.73664221595177,1.8256368416190767,12,0.11237632059252839
L_Shoulder,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,30.072973754453617,28.61235776394377,7.877709599444053,12,0.09184638798941211
R_Shoulder,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,29.77470192065987,30.48764493276009,2.5677536112298616,11,0.10057126636595116
L_Elbow,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,14.646733925857552,15.357135639461141,5.42020618923131,12,0.09968689919994977
R_Elbow,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,6.876886415166032,5.780910213763036,2.2229129856542453,11,0.10173397130912312
L_Hip,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,22.615649627564224,24.336121650680397,7.46067154747204,12,0.09313208498534344
R_Hip,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,20.589961997364814,20.69633901346362,6.594642292526821,12,0.09585977015534508
L_Knee,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,16.64697265059343,15.349731935619129,6.54551972931475,12,0.09601686131955556
R_Knee,angle_mae,2,0,Y=1.5,8,1,Model4_ViewBin,20.722511881829583,19.53308931135431,4.705255777067536,12,0.10209114028542986
L_Shoulder,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,39.561841706977994,38.04375482835566,10.393058325739432,12,0.08445953367543474
R_Shoulder,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,37.14620170268957,35.44908389018681,5.142204164389415,11,0.0923006861898636
L_Elbow,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,11.316707979313492,12.589829325618371,5.472827015194433,12,0.09951219889352707
R_Elbow,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,17.27762157415137,13.346473340408192,9.173353832545367,11,0.08069526667572796
L_Hip,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,22.76378611967968,25.020041730076933,7.41357019683355,12,0.0932784213990148
R_Hip,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,30.193343969062358,29.282818228146823,5.968922021906133,12,0.09788014680017627
L_Knee,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,13.262936314278464,11.445137547376884,6.6654820786520395,12,0.09563368100831833
R_Knee,angle_mae,2,1,Y=1.5,8,1,Model4_ViewBin,14.70293537558898,14.198034142238718,4.9992635648755535,12,0.10109550730803714
L_Shoulder,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,37.24831861298264,38.593909337225554,6.706219945679332,11,0.08761197735983059
R_Shoulder,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,37.13767236269078,38.74233095968359,3.2307751485907326,10,0.08949225665144742
L_Elbow,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,7.211774992606624,7.4680768893678575,2.4283763878249,11,0.10103959823216006
R_Elbow,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,26.31965960139617,27.662140823975896,5.798705091034391,10,0.08215062388607523
L_Hip,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,17.908877272460753,18.89838346983776,6.040085611153178,11,0.08957911437047858
R_Hip,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,28.96561280084244,29.055725548872143,5.448680323363319,11,0.09136255427408431
L_Knee,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,11.742380043091517,13.368091516143592,3.6725256195158886,11,0.09693502034299156
R_Knee,angle_mae,2,2,Y=1.5,8,1,Model4_ViewBin,10.971291131705412,11.263838291846117,2.4164317581239043,11,0.10107983559483581
L_Shoulder,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,27.772979065590498,26.268037731816165,5.9609066522305225,9,0.07358328348160788
R_Shoulder,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,36.02040118661131,35.84186033583887,3.5269864922653618,9,0.07980199828661795
L_Elbow,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,16.938515132224108,20.17508388612702,8.148428927972727,9,0.06840873109963243
R_Elbow,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,27.673180950609478,28.396949531281926,3.0480197178074744,9,0.0810863068822226
L_Hip,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,14.939020619927858,13.193682817351409,6.074502179830452,9,0.07330518592753349
R_Hip,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,19.211511410901192,17.578247338006637,9.70495900993187,9,0.06494989510296181
L_Knee,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,19.05077274350905,19.045322063087134,2.381135949887096,9,0.08290899524293627
R_Knee,angle_mae,2,3,Y=1.5,8,1,Model4_ViewBin,11.924359927776079,12.09654161685826,5.130224140547989,9,0.07564923216780527
L_Shoulder,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,35.95389286853792,37.2934038005029,5.556500203565619,10,0.08281655120355323
R_Shoulder,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,25.75497032122654,25.194288067202088,2.907440498098164,11,0.0994389311084268
L_Elbow,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,25.64175493853484,25.460720978055818,3.309508476290443,10,0.08925769714127434
R_Elbow,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,16.010709038781666,15.20535451710408,7.21167273506126,11,0.08614821905334802
L_Hip,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,14.469192008507168,16.024937983849757,5.212607302273766,11,0.09208433155868574
R_Hip,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,18.212288750910137,19.504658235062053,6.420465872408558,11,0.08845048042789833
L_Knee,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,13.859879864731992,14.367799327176442,3.8486207894339213,11,0.09636769406626806
R_Knee,angle_mae,2,4,Y=1.5,8,1,Model4_ViewBin,14.70424718949929,15.556547099869883,3.509913248340179,11,0.09746187472063036
L_Shoulder,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,42.919240384627656,41.82841854088524,2.747123367069008,8,0.07284440313880543
R_Shoulder,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,37.524612438317725,38.94808165571441,3.856492935142595,8,0.07019988809146839
L_Elbow,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,17.595436650249248,17.65178493820586,2.906778548147351,8,0.07245776664752551
R_Elbow,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,7.772433762736097,7.482031329179055,1.2171283372774044,8,0.07665582037066804
L_Hip,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,33.035601787487515,32.87063150880047,4.514079279993469,8,0.06867788029554237
R_Hip,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,21.894432959021618,21.734687362336626,2.833556705836004,8,0.07263483234969687
L_Knee,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,12.492166579913729,13.514419427115088,2.711175422636969,8,0.07293174234130895
R_Knee,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,13.432503176851785,13.684775153193897,2.6117816850309943,8,0.07317377501082178
L_Shoulder,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,44.23678654830242,44.97418296012794,6.761273560363988,10,0.07955660837370576
R_Shoulder,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,39.836617413573535,40.80542819728768,2.2133317980666516,11,0.10176646757349844
L_Elbow,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,23.16626844878616,20.955602387946286,6.639117349060798,10,0.07988121326236419
R_Elbow,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,8.045903116111155,7.6115735666177455,1.8409728719239822,11,0.10303746077023697
L_Hip,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,30.81975906064001,33.35497157781343,7.059345055116767,11,0.08658675674630051
