model,joint,raw_mae,corr_mae,improvement_pct,split
Model5_Linear,L_Shoulder,35.67140250070428,-1.1841139537318386,103.31950489950165,known_view
Model5_Linear,R_Shoulder,33.863425948097024,-0.7254353309101523,102.14223844929937,known_view
Model5_Linear,L_Elbow,13.47058887369424,-1.2178310779744113,109.04066696261978,known_view
Model5_Linear,R_Elbow,15.741392888642226,0.6475136029891189,95.88655459164409,known_view
Model5_Linear,L_Hip,20.80741986590148,-0.30847743029138314,101.48253571216152,known_view
Model5_Linear,R_Hip,21.40203967413952,-0.010348511715387377,100.04835292277257,known_view
Model5_Linear,L_Knee,15.75743377580553,1.3194624733889875,91.62641270043011,known_view
Model5_Linear,R_Knee,13.684526722274075,-0.4531401107303622,103.31133198777562,known_view
Model2_JointWise,L_Shoulder,37.85419082932968,1.412133418767858,96.26954535857169,unknown_view
Model2_JointWise,R_Shoulder,33.38141947118581,-0.911801252840908,102.73146339276542,unknown_view
Model2_JointWise,L_Elbow,15.47503986118944,0.0830903604178295,99.4630685209011,unknown_view
Model2_JointWise,R_Elbow,12.02111544023724,-2.805935412895852,123.34172254517904,unknown_view
Model2_JointWise,L_Hip,29.387500855878628,9.029025534779102,69.27596674838395,unknown_view
Model2_JointWise,R_Hip,25.834440472237134,5.535716811018445,78.57233712118759,unknown_view
Model2_JointWise,L_Knee,17.20772059857616,2.608616909298374,84.84042732821788,unknown_view
Model2_JointWise,R_Knee,14.699459391166004,0.5257734877087707,96.42317806582228,unknown_view
Model3_HeightWise,L_Shoulder,37.85419082932968,19.165744860411102,49.3695560768364,unknown_view
Model3_HeightWise,R_Shoulder,33.38141947118581,15.510177597880908,53.536494721954554,unknown_view
Model3_HeightWise,L_Elbow,15.47503986118944,7.602610799805587,50.8717853524079,unknown_view
Model3_HeightWise,R_Elbow,12.02111544023724,3.8871682310865228,67.66383077833741,unknown_view
Model3_HeightWise,L_Hip,29.387500855878628,16.65796870470027,43.31614387220669,unknown_view
Model3_HeightWise,R_Hip,25.834440472237134,12.225960048165387,52.67573121506556,unknown_view
Model3_HeightWise,L_Knee,17.20772059857616,9.213225430416559,46.458769029647655,unknown_view
Model3_HeightWise,R_Knee,14.699459391166004,6.293950777201489,57.18243365477787,unknown_view
Model4_ViewBin,L_Shoulder,37.85419082932968,35.078493421828114,7.332602670114239,unknown_view
Model4_ViewBin,R_Shoulder,33.38141947118581,30.681331273661634,8.088596112142078,unknown_view
Model4_ViewBin,L_Elbow,15.47503986118944,14.27177654695063,7.775510273524593,unknown_view
Model4_ViewBin,R_Elbow,12.02111544023724,10.877181703069859,9.516036534666254,unknown_view
Model4_ViewBin,L_Hip,29.387500855878628,27.053580712642724,7.94188030714776,unknown_view
Model4_ViewBin,R_Hip,25.834440472237134,23.776913376251287,7.964279691665703,unknown_view
Model4_ViewBin,L_Knee,17.20772059857616,15.94452551463918,7.340862357106738,unknown_view
Model4_ViewBin,R_Knee,14.699459391166004,13.422679447921718,8.685897278723036,unknown_view
Model5_Linear,L_Shoulder,37.85419082932968,-0.38389845768051467,101.0141504791672,unknown_view
Model5_Linear,R_Shoulder,33.38141947118581,-1.9954450672894097,105.97771184958698,unknown_view
Model5_Linear,L_Elbow,15.47503986118944,-0.5947134389435589,103.84304948018304,unknown_view
Model5_Linear,R_Elbow,12.02111544023724,-1.3300598357631457,111.06436289024522,unknown_view
Model5_Linear,L_Hip,29.387500855878628,-1.298383610130032,104.41814911889762,unknown_view
Model5_Linear,R_Hip,25.834440472237134,-1.8476987711011148,107.15207582330547,unknown_view
Model5_Linear,L_Knee,17.20772059857616,2.9894377511129395,82.62734605674444,unknown_view
Model5_Linear,R_Knee,14.699459391166004,-0.665290261605267,104.52595053941296,unknown_view
