joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Elbow,2,3,70.4324954295818,-70.43249542958182,118,-75.9010509947177,75.9010509947177,371,146.33354642429953,-107.76425076490916,0.9764844092491362,9
L_Elbow,2,4,78.12498163649518,-78.12498163649518,35,-74.28757349588534,74.28757349588534,565,152.41255513238053,-95.08811642546713,0.6473225673987899,10
L_Elbow,2,6,33.28920526916965,-33.28920526916965,19,-44.645868426943025,46.31720575330281,645,77.93507369611268,-134.11515254253067,0.8466665288815738,10
L_Elbow,2,7,23.449766651173846,-23.449766651173846,53,-28.997467811862673,30.17429857906136,493,52.44723446303652,-123.65780966272911,0.9458279732815268,7
L_Elbow,3,0,23.4894102192788,-23.4894102192788,129,-27.13448870503822,27.938416060240044,466,50.62389892431702,-115.51796512441909,0.8477386137965022,8
L_Elbow,3,1,53.59738991956162,-53.59738991956162,43,-46.541920230953195,46.5419202309532,497,100.13931015051482,-86.83616926272492,0.8219582818611226,13
L_Elbow,3,2,47.81647625667066,-47.81647625667065,95,-55.367206303054886,55.368814891262005,499,103.18368255972555,-115.79106332690266,0.7288558818893115,9
L_Elbow,3,4,74.103112543817,-74.103112543817,120,-73.42100941400567,73.90164447069574,306,147.52412195782267,-99.07952162008307,0.9480075725664752,10
L_Elbow,3,5,53.604242861197584,-53.60424286119759,92,-57.23415718635059,59.45983271380057,301,110.83840004754818,-106.77169218591946,0.3654653649039008,7
L_Elbow,3,6,47.81826713955213,-45.71427276660336,171,-44.16342805463527,44.78024412118825,469,91.9816951941874,-92.35681403039841,0.7072308741524616,11
L_Hip,0,0,170.5753045306255,-27.670059564219866,71,-19.547368790331394,172.37451777014013,559,190.1226733209569,-11.459671049171028,0.710084591380999,12
L_Hip,0,1,119.81152922423023,-25.125227948131734,395,5.976113128701651,128.37744819693697,427,113.83541609552857,4.98792826316173,0.836943663456005,13
L_Hip,0,2,60.97378006534796,-4.711087332615881,444,-33.13997234691308,52.013519659691966,418,94.11375241226105,-54.351185561065265,0.7799253792005568,12
L_Hip,0,3,3.8290172564236413,2.578683414844768,85,3.1030208387712466,10.972513073844151,274,0.7259964176523948,81.03961489245191,0.8860976591598353,8
L_Hip,0,4,31.839554279055434,-14.840895699418079,60,-4.757468287168642,11.789538414908412,310,36.59702256622408,-14.942006554087287,0.9181264687509154,11
L_Hip,0,5,26.43847032653731,2.4205858660437523,135,7.900126998736093,42.76824966694139,331,18.538343327801215,29.88118034501578,0.6881924923195645,9
L_Hip,0,6,81.54225972796569,4.190864267745795,99,32.61964361295766,97.35982468584339,524,48.922616115008026,40.00335987962625,0.6363329041674559,10
L_Hip,0,7,165.61108283076678,71.4451847670255,18,-69.46717486236032,166.92767560081737,431,235.0782576931271,-41.94596984390643,0.906375606391132,10
L_Hip,1,0,174.81691570416936,-72.31996753510538,239,-67.73417304044736,174.71247272542857,514,242.55108874461672,-38.74577741382261,0.938313053422652,14
L_Hip,1,1,138.4562873984573,-89.24052577321126,56,-93.88130137044296,126.01850754603034,531,232.33758876890028,-67.80573358887348,0.8043896684391137,12
L_Hip,1,2,73.94150153354707,-62.02926693674071,195,-33.34935964881215,39.429249207627365,589,107.29086118235921,-45.10235653475555,0.8820813248860562,12
L_Hip,1,3,4.543940178792764,-0.7792169138586907,77,-0.9672394321482377,6.4713861433302435,393,5.511179610941001,-21.286359284888608,0.5873756370744809,15
L_Hip,1,4,17.87957139814551,4.850004821090396,99,1.3854087417620302,5.891863484339296,453,16.49416265638348,7.748556779754392,0.7399622986808196,15
L_Hip,1,5,18.866895991613212,11.510609876936487,125,32.27873518169336,37.4384371558387,361,13.411839190080144,28.913377186994467,0.5104676016233418,11
L_Hip,1,7,173.0169440092579,-35.062269225666974,52,5.138899912538393,166.25813882629961,382,167.87804409671952,2.970171471912841,0.4118844374936432,12
L_Hip,2,0,171.55205141409797,-46.30980899126871,203,-66.8234653247596,172.48166338385437,556,238.37551673885758,-38.95229743622181,0.9025387320625972,12
L_Hip,2,1,116.47710689940257,-100.06317080262616,275,-112.2300851049688,119.92503683053738,471,228.70719200437136,-96.35377121952232,0.6466445048879812,12
L_Hip,2,2,50.11618818726109,-49.99005200917863,144,-57.17613713576586,58.58341278070697,405,107.29232532302694,-114.08716265914916,0.9034621464918794,11
L_Hip,2,3,7.569500171642246,-6.366507828667488,118,-1.550630519561154,4.6140201523272895,371,9.1201306912034,-20.48524320496496,0.7538981371879828,9
L_Hip,2,4,2.226606092095821,-0.3522282814160256,35,-0.3149393311364965,4.696139998221324,565,2.541545423232318,-14.14436672272176,0.8595769067849506,11
L_Hip,2,6,102.57066897692582,102.57066897692582,19,74.15395645777161,80.44588440437458,645,28.416712519154203,72.29547900721327,0.5501501152374715,11
L_Hip,2,7,175.90349713064612,-23.546880981845998,53,58.83884177810086,163.01334335065295,493,117.06465535254526,33.44950085580185,0.9989193329421934,7
L_Hip,3,0,174.99946311018832,-108.91236090167368,129,-81.0756028201236,168.20445830182382,466,256.0750659303119,-46.329058032066285,0.9527281281279812,8
L_Hip,3,1,102.25327210157485,-102.25327210157488,43,-99.78755763198309,104.92461699435665,497,202.04082973355793,-97.58862047256305,0.7735026909752585,13
L_Hip,3,2,74.63058355582892,-74.63058355582892,95,-55.22312147557396,55.22312147557396,499,129.85370503140288,-73.99529635764296,0.7872878364489356,9
L_Hip,3,4,3.8675682312979074,0.9052768703213305,120,1.5596307520591175,5.917400292611518,306,2.30793747923879,40.32587555761686,0.9594693109088196,10
L_Hip,3,5,60.24979382461371,53.39238491288097,92,31.824157977556734,35.83771936634711,301,28.425635847056977,52.820359967033916,0.7646835005460522,8
L_Hip,3,6,95.62756581099883,95.62756581099883,171,73.75160370322278,82.43921302093774,469,21.875962107776047,77.12379069544409,0.0437102908350212,12
L_Knee,0,0,8.72144681364527,5.187993221441025,71,2.5269910702525937,10.73253658821314,559,6.194455743392677,28.974447981485728,0.7759943005458626,12
L_Knee,0,1,10.557238221662491,7.536519396640613,395,6.2930746110181905,10.066451350921485,427,4.2641636106443,59.60909926334119,0.7830991417732983,13
L_Knee,0,2,14.812475073856122,13.340783417157342,444,13.895214145391646,15.560747745229259,418,0.9172609284644757,93.80751073746323,0.8446198208389231,12
L_Knee,0,3,27.20475160956516,27.204751609565157,85,22.667382540422185,24.051530064762808,274,4.537369069142976,83.32140967775776,0.8633758158384853,8
L_Knee,0,4,31.154794078260796,31.154794078260803,60,31.19233669285968,34.28727714655335,310,0.03754261459888397,99.87949650861252,0.9352747385775972,11
