folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,D_norm,n_frames,window,k_sigma
CapturedFrames_-4.0_1.0_-5.0,-4.0,1.0,-5.0,Y=1.0,5,SW,1.5663353109551605,28,7,3.0
CapturedFrames_-4.0_1.0_-6.0,-4.0,1.0,-6.0,Y=1.0,5,SW,0.5115516656937013,7,7,3.0
CapturedFrames_-4.0_1.0_0.0,-4.0,1.0,0.0,Y=1.0,6,W,5.914945466940587,105,7,3.0
CapturedFrames_-4.0_1.0_1.0,-4.0,1.0,1.0,Y=1.0,6,W,5.911381457752917,104,7,3.0
CapturedFrames_-4.0_1.0_2.0,-4.0,1.0,2.0,Y=1.0,7,NW,3.7554571722240424,64,7,3.0
CapturedFrames_-4.0_1.0_3.0,-4.0,1.0,3.0,Y=1.0,7,NW,2.2986142844405193,40,7,3.0
CapturedFrames_-4.0_1.0_4.0,-4.0,1.0,4.0,Y=1.0,7,NW,2.03791591300181,31,7,3.0
CapturedFrames_-4.0_1.0_5.0,-4.0,1.0,5.0,Y=1.0,7,NW,0.9704361833304653,16,7,3.0
CapturedFrames_-4.0_1.0_6.0,-4.0,1.0,6.0,Y=1.0,7,NW,0.3792536688682126,4,7,3.0
CapturedFrames_-5.0_1.0_-1.0,-5.0,1.0,-1.0,Y=1.0,6,W,5.910075790611573,87,7,3.0
CapturedFrames_-5.0_1.0_-2.0,-5.0,1.0,-2.0,Y=1.0,6,W,4.193960775635008,59,7,3.0
CapturedFrames_-5.0_1.0_-3.0,-5.0,1.0,-3.0,Y=1.0,5,SW,2.8135332442693834,36,7,3.0
CapturedFrames_-5.0_1.0_-4.0,-5.0,1.0,-4.0,Y=1.0,5,SW,1.5076396116715027,26,7,3.0
CapturedFrames_-5.0_1.0_-5.0,-5.0,1.0,-5.0,Y=1.0,5,SW,0.23072085763103414,5,7,3.0
CapturedFrames_-5.0_1.0_0.0,-5.0,1.0,0.0,Y=1.0,6,W,5.911341209665537,86,7,3.0
