folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,n_keep,reject_rate,mean_eps_norm,mean_E_norm,mean_E_corr_norm,mean_eps_norm_keep
CapturedFrames_-3.0_2.0_-1.0,-3.0,2.0,-1.0,Y=2.0,6,W,RIGHT_ANKLE,85,67,0.21176470588235297,0.40053544811518216,0.8254554429823402,0.8244127369617364,0.39992174806992914
CapturedFrames_-3.0_2.0_-1.0,-3.0,2.0,-1.0,Y=2.0,6,W,RIGHT_ELBOW,85,55,0.3529411764705882,0.2157740356583557,0.2513718797500282,0.24993112408921075,0.21159339359417909
CapturedFrames_-3.0_2.0_-1.0,-3.0,2.0,-1.0,Y=2.0,6,W,RIGHT_KNEE,85,63,0.2588235294117647,0.2649592018400139,0.4279450842893229,0.42637607988814236,0.26596513082173456
CapturedFrames_-3.0_2.0_-1.0,-3.0,2.0,-1.0,Y=2.0,6,W,RIGHT_SHOULDER,85,59,0.3058823529411765,0.09935885028774831,0.11739396152612032,0.11708032648216805,0.10085584141725391
CapturedFrames_-3.0_2.0_-1.0,-3.0,2.0,-1.0,Y=2.0,6,W,RIGHT_WRIST,85,65,0.23529411764705888,0.2798506668069628,0.34631034600848665,0.34354140331498745,0.2843868982218475
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,LEFT_ANKLE,83,68,0.1807228915662651,0.30291676612176804,0.4434667801048181,0.43896651990426294,0.30279602652525933
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,LEFT_ELBOW,83,56,0.32530120481927716,0.163812090024137,0.48694991030527934,0.4863284766096582,0.1664337653527109
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,LEFT_KNEE,83,63,0.24096385542168675,0.18448002907364094,0.22360097170759122,0.22173757299250713,0.18350727231007774
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,LEFT_SHOULDER,83,54,0.3493975903614458,0.1244241570079169,0.4364438904001327,0.43618418328669967,0.12461366302186007
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,LEFT_WRIST,83,52,0.37349397590361444,0.14614860494523554,0.4765323161235732,0.4719312482549773,0.14251420179548166
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,RIGHT_ANKLE,83,59,0.28915662650602414,0.36528576415035063,0.737958265941545,0.7365255799018565,0.3477254875446054
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,RIGHT_ELBOW,83,48,0.42168674698795183,0.18938156815418958,0.2311788944736221,0.2289056602630632,0.19070052281149244
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,RIGHT_KNEE,83,63,0.24096385542168675,0.26084124244082724,0.39350178409069436,0.3917484684618243,0.25847835400593916
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,RIGHT_SHOULDER,83,55,0.3373493975903614,0.07548987272947548,0.09917407790516337,0.09871280842002554,0.06843189986148843
CapturedFrames_-3.0_2.0_-2.0,-3.0,2.0,-2.0,Y=2.0,5,SW,RIGHT_WRIST,83,65,0.2168674698795181,0.25043043782516844,0.31198943694088477,0.3084133277872522,0.2516784998584261
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,LEFT_ANKLE,69,53,0.23188405797101452,0.30068318371397695,0.4309395100151122,0.42603567390846764,0.29552646177426145
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,LEFT_ELBOW,69,55,0.2028985507246377,0.17028584284549603,0.47145357753254125,0.4708026551038604,0.16770847574066494
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,LEFT_KNEE,69,57,0.17391304347826086,0.18951829730622227,0.22801457858558352,0.2256418108009399,0.19102293307723045
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,LEFT_SHOULDER,69,50,0.2753623188405797,0.10754095032693424,0.42305563209849206,0.42270229847924806,0.10635697570688393
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,LEFT_WRIST,69,42,0.3913043478260869,0.1626636409434245,0.45274708321508106,0.44796325566414386,0.17403774545699888
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,RIGHT_ANKLE,69,55,0.2028985507246377,0.333543861995707,0.780906289949278,0.7785716290872104,0.32045276221540686
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,RIGHT_ELBOW,69,46,0.33333333333333337,0.17872945695727788,0.2286433821051217,0.22654490149202508,0.1705378002533121
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,RIGHT_KNEE,69,53,0.23188405797101452,0.25308943008179663,0.42038058629425606,0.418196625442683,0.2525246574083419
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,RIGHT_SHOULDER,69,46,0.33333333333333337,0.08081292164205632,0.1122416604023301,0.11127398478206146,0.07601868991535922
CapturedFrames_-3.0_2.0_-3.0,-3.0,2.0,-3.0,Y=2.0,5,SW,RIGHT_WRIST,69,53,0.23188405797101452,0.25063754980168945,0.31431712481949753,0.3108453947028649,0.2524824030329741
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,LEFT_ANKLE,54,42,0.2222222222222222,0.292642979902881,0.38665638531916435,0.3815185144020429,0.29016197165969954
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,LEFT_ELBOW,54,41,0.2407407407407407,0.17210144634700322,0.4557316414664324,0.4552344328410111,0.16799198053789702
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,LEFT_KNEE,54,40,0.2592592592592593,0.18993918114298225,0.23527511247599134,0.2336471882072797,0.18738494183884657
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,LEFT_SHOULDER,54,44,0.18518518518518523,0.09605837802374424,0.40753535255777074,0.4072142701751591,0.0987043764262454
CapturedFrames_-3.0_2.0_-4.0,-3.0,2.0,-4.0,Y=2.0,5,SW,LEFT_WRIST,54,31,0.42592592592592593,0.1697905793051706,0.42932633893314226,0.42622770885294525,0.165728764730379
