camera,joint,delta_theta_mean,delta_theta_std,delta_theta_abs_mean,error_3d_mean,count
CapturedFrames_-2.0_1.0_5.0,RIGHT_ELBOW,75.1631804665322,10.379688678650858,75.16318046653221,0.3341417107129857,35
CapturedFrames_-2.0_1.0_6.0,LEFT_ELBOW,-78.67678354156477,2.221476362015724,78.67678354156477,0.29883748637442503,12
CapturedFrames_-2.0_1.0_6.0,RIGHT_ELBOW,81.22279361354053,2.3639112429664264,81.22279361354053,0.35498460093797607,12
CapturedFrames_-2.0_1.5_-3.0,LEFT_ELBOW,-26.45491004688297,8.189335991297538,26.454910046882976,0.309625056093849,79
CapturedFrames_-2.0_1.5_-3.0,RIGHT_ELBOW,28.289398859242866,9.146110796878093,28.289398859242866,0.2569204943085271,79
CapturedFrames_-2.0_1.5_-4.0,LEFT_ELBOW,-30.15068374977482,9.556452360753495,30.15068374977482,0.3001817421713582,64
CapturedFrames_-2.0_1.5_-4.0,RIGHT_ELBOW,29.06018098526104,10.705441445855941,29.06018098526104,0.2546095279377972,64
CapturedFrames_-2.0_1.5_-5.0,LEFT_ELBOW,-27.23561120412276,4.672880426348648,27.23561120412276,0.2719861298698749,44
CapturedFrames_-2.0_1.5_-5.0,RIGHT_ELBOW,28.37459381346255,9.250035468715028,28.37459381346255,0.26596943851759575,44
CapturedFrames_-2.0_1.5_-6.0,LEFT_ELBOW,-25.970259267569126,4.109570439756016,25.970259267569126,0.27563323998255673,29
CapturedFrames_-2.0_1.5_-6.0,RIGHT_ELBOW,25.847379688041393,6.621995411888681,25.84737968804139,0.270274602787583,29
CapturedFrames_-2.0_1.5_3.0,LEFT_ELBOW,-72.657993769744,13.242897400237839,72.657993769744,0.3752562482269287,75
CapturedFrames_-2.0_1.5_3.0,RIGHT_ELBOW,70.44144262330126,10.439382618755715,70.44144262330126,0.32489538789291844,75
CapturedFrames_-2.0_1.5_4.0,LEFT_ELBOW,-75.77034528888454,7.7607953052397605,75.77034528888454,0.3521835315611973,51
CapturedFrames_-2.0_1.5_4.0,RIGHT_ELBOW,73.79011099145463,10.349072079683847,73.79011099145461,0.32908692283695024,51
CapturedFrames_-2.0_1.5_5.0,LEFT_ELBOW,-76.99827996769586,5.824087868762993,76.99827996769586,0.3328891027942208,39
CapturedFrames_-2.0_1.5_5.0,RIGHT_ELBOW,75.00211320121569,9.011521860100592,75.00211320121572,0.3407162248976074,39
CapturedFrames_-2.0_1.5_6.0,LEFT_ELBOW,-77.84908887294073,2.4190602004901534,77.84908887294073,0.3135702619943359,15
CapturedFrames_-2.0_1.5_6.0,RIGHT_ELBOW,80.41827010798991,3.5583231442716095,80.41827010798991,0.34253838217951527,15
CapturedFrames_-2.0_2.0_-3.0,LEFT_ELBOW,-29.935662065349774,12.386945393045462,29.935662065349774,0.30711390014458784,72
CapturedFrames_-2.0_2.0_-3.0,RIGHT_ELBOW,28.650323482598328,10.802927302382354,28.650323482598328,0.25827204124539016,72
CapturedFrames_-2.0_2.0_-4.0,LEFT_ELBOW,-30.74671708213584,9.032530764872972,30.74671708213584,0.298538500245039,58
CapturedFrames_-2.0_2.0_-4.0,RIGHT_ELBOW,29.55686213415112,11.55247281020953,29.55686213415112,0.25853861728306987,58
CapturedFrames_-2.0_2.0_-5.0,LEFT_ELBOW,-28.100205873183494,3.489747224184817,28.100205873183494,0.2742949884496267,40
CapturedFrames_-2.0_2.0_-5.0,RIGHT_ELBOW,28.485336939016896,9.442066933090905,28.485336939016896,0.2660049192700536,40
CapturedFrames_-2.0_2.0_-6.0,LEFT_ELBOW,-27.528488272770726,2.357502815696703,27.528488272770723,0.2746857991639863,26
CapturedFrames_-2.0_2.0_-6.0,RIGHT_ELBOW,27.92325726461239,6.7282117551945095,27.92325726461239,0.2714908114522759,26
CapturedFrames_-2.0_2.0_3.0,LEFT_ELBOW,-74.11936189674594,13.189685452153546,74.11936189674594,0.3860363169669991,78
CapturedFrames_-2.0_2.0_3.0,RIGHT_ELBOW,72.13893134242444,11.914625589751752,72.13893134242444,0.3270032335355292,78
CapturedFrames_-2.0_2.0_4.0,LEFT_ELBOW,-76.70024440755364,6.985159645689138,76.70024440755364,0.36485083833063825,57
CapturedFrames_-2.0_2.0_4.0,RIGHT_ELBOW,72.82825133986245,10.645709643987706,72.82825133986245,0.3272631558216099,57
CapturedFrames_-2.0_2.0_5.0,LEFT_ELBOW,-77.06042976571044,5.668900881431785,77.06042976571044,0.34467300446766685,34
CapturedFrames_-2.0_2.0_5.0,RIGHT_ELBOW,74.30772150822219,9.528190875563624,74.30772150822217,0.33211485013569625,34
CapturedFrames_-2.0_2.0_6.0,LEFT_ELBOW,-77.83021199816868,2.7066524680959327,77.83021199816868,0.32097628277080525,16
CapturedFrames_-2.0_2.0_6.0,RIGHT_ELBOW,78.48869088644747,7.464277261975703,78.48869088644747,0.3437079587025541,16
CapturedFrames_-3.0_0.5_-1.0,LEFT_ELBOW,-37.57217389451649,15.743742550802091,37.572173894516496,0.32342638040043575,82
