camera,joint,theta_mean,theta_std,count
CapturedFrames_-2.0_1.0_-5.0,RIGHT_ELBOW,27.580359577555694,9.614012072952441,43
CapturedFrames_-2.0_1.0_-6.0,LEFT_ELBOW,-25.196538480958036,4.15692217847493,26
CapturedFrames_-2.0_1.0_-6.0,RIGHT_ELBOW,26.136596038939388,6.165127167804124,26
CapturedFrames_-2.0_1.0_3.0,LEFT_ELBOW,-70.65912538266399,13.154939055055188,65
CapturedFrames_-2.0_1.0_3.0,RIGHT_ELBOW,69.83533702962926,12.758859074811008,65
CapturedFrames_-2.0_1.0_4.0,LEFT_ELBOW,-75.28440765969127,8.762702003625007,46
CapturedFrames_-2.0_1.0_4.0,RIGHT_ELBOW,74.77973681549227,10.661746187550735,46
CapturedFrames_-2.0_1.0_5.0,LEFT_ELBOW,-76.52185994732066,7.095822853751149,35
CapturedFrames_-2.0_1.0_5.0,RIGHT_ELBOW,75.1631804665322,10.379688678650858,35
CapturedFrames_-2.0_1.0_6.0,LEFT_ELBOW,-78.67678354156477,2.221476362015724,12
CapturedFrames_-2.0_1.0_6.0,RIGHT_ELBOW,81.22279361354053,2.3639112429664264,12
CapturedFrames_-2.0_1.5_-3.0,LEFT_ELBOW,-26.45491004688297,8.189335991297538,79
CapturedFrames_-2.0_1.5_-3.0,RIGHT_ELBOW,28.289398859242866,9.146110796878093,79
CapturedFrames_-2.0_1.5_-4.0,LEFT_ELBOW,-30.15068374977482,9.556452360753495,64
CapturedFrames_-2.0_1.5_-4.0,RIGHT_ELBOW,29.06018098526104,10.705441445855941,64
CapturedFrames_-2.0_1.5_-5.0,LEFT_ELBOW,-27.23561120412276,4.672880426348648,44
CapturedFrames_-2.0_1.5_-5.0,RIGHT_ELBOW,28.37459381346255,9.250035468715028,44
CapturedFrames_-2.0_1.5_-6.0,LEFT_ELBOW,-25.970259267569126,4.109570439756016,29
CapturedFrames_-2.0_1.5_-6.0,RIGHT_ELBOW,25.847379688041393,6.621995411888681,29
CapturedFrames_-2.0_1.5_3.0,LEFT_ELBOW,-72.657993769744,13.242897400237839,75
CapturedFrames_-2.0_1.5_3.0,RIGHT_ELBOW,70.44144262330126,10.439382618755715,75
CapturedFrames_-2.0_1.5_4.0,LEFT_ELBOW,-75.77034528888454,7.7607953052397605,51
CapturedFrames_-2.0_1.5_4.0,RIGHT_ELBOW,73.79011099145463,10.349072079683847,51
CapturedFrames_-2.0_1.5_5.0,LEFT_ELBOW,-76.99827996769586,5.824087868762993,39
CapturedFrames_-2.0_1.5_5.0,RIGHT_ELBOW,75.00211320121569,9.011521860100592,39
CapturedFrames_-2.0_1.5_6.0,LEFT_ELBOW,-77.84908887294073,2.4190602004901534,15
CapturedFrames_-2.0_1.5_6.0,RIGHT_ELBOW,80.41827010798991,3.5583231442716095,15
CapturedFrames_-2.0_2.0_-3.0,LEFT_ELBOW,-29.935662065349774,12.386945393045462,72
CapturedFrames_-2.0_2.0_-3.0,RIGHT_ELBOW,28.650323482598328,10.802927302382354,72
CapturedFrames_-2.0_2.0_-4.0,LEFT_ELBOW,-30.74671708213584,9.032530764872972,58
CapturedFrames_-2.0_2.0_-4.0,RIGHT_ELBOW,29.55686213415112,11.55247281020953,58
CapturedFrames_-2.0_2.0_-5.0,LEFT_ELBOW,-28.100205873183494,3.489747224184817,40
CapturedFrames_-2.0_2.0_-5.0,RIGHT_ELBOW,28.485336939016896,9.442066933090905,40
CapturedFrames_-2.0_2.0_-6.0,LEFT_ELBOW,-27.528488272770726,2.357502815696703,26
CapturedFrames_-2.0_2.0_-6.0,RIGHT_ELBOW,27.92325726461239,6.7282117551945095,26
CapturedFrames_-2.0_2.0_3.0,LEFT_ELBOW,-74.11936189674594,13.189685452153546,78
CapturedFrames_-2.0_2.0_3.0,RIGHT_ELBOW,72.13893134242444,11.914625589751752,78
CapturedFrames_-2.0_2.0_4.0,LEFT_ELBOW,-76.70024440755364,6.985159645689138,57
CapturedFrames_-2.0_2.0_4.0,RIGHT_ELBOW,72.82825133986245,10.645709643987706,57
CapturedFrames_-2.0_2.0_5.0,LEFT_ELBOW,-77.06042976571044,5.668900881431785,34
CapturedFrames_-2.0_2.0_5.0,RIGHT_ELBOW,74.30772150822219,9.528190875563624,34
CapturedFrames_-2.0_2.0_6.0,LEFT_ELBOW,-77.83021199816868,2.7066524680959327,16
CapturedFrames_-2.0_2.0_6.0,RIGHT_ELBOW,78.48869088644747,7.464277261975703,16
CapturedFrames_-3.0_0.5_-1.0,LEFT_ELBOW,-37.57217389451649,15.743742550802091,82
CapturedFrames_-3.0_0.5_-1.0,RIGHT_ELBOW,40.44457377520602,16.248444489087877,82
CapturedFrames_-3.0_0.5_-2.0,LEFT_ELBOW,-32.51041381762922,11.970001658155597,86
CapturedFrames_-3.0_0.5_-2.0,RIGHT_ELBOW,33.88928221438147,13.673515542139372,86
CapturedFrames_-3.0_0.5_-3.0,LEFT_ELBOW,-33.143586313332996,11.309895240997832,67
CapturedFrames_-3.0_0.5_-3.0,RIGHT_ELBOW,32.153406398842705,12.096389527637944,67
CapturedFrames_-3.0_0.5_-4.0,LEFT_ELBOW,-34.53925518457682,12.73242018901139,54
CapturedFrames_-3.0_0.5_-4.0,RIGHT_ELBOW,35.15434895386985,15.964804632338689,54
CapturedFrames_-3.0_0.5_-5.0,LEFT_ELBOW,-31.159419081460964,9.203112240050753,40
CapturedFrames_-3.0_0.5_-5.0,RIGHT_ELBOW,33.084734652203856,12.698536058727816,40
CapturedFrames_-3.0_0.5_-6.0,LEFT_ELBOW,-30.536686664665027,6.977029905762594,23
CapturedFrames_-3.0_0.5_-6.0,RIGHT_ELBOW,34.27837083958269,12.1323601546134,23
CapturedFrames_-3.0_0.5_0.0,LEFT_ELBOW,-46.11930666448123,17.912988800527675,79
CapturedFrames_-3.0_0.5_0.0,RIGHT_ELBOW,47.738042410821635,18.675565457974066,79
CapturedFrames_-3.0_0.5_1.0,LEFT_ELBOW,-60.344777899647774,21.437212433525314,93
CapturedFrames_-3.0_0.5_1.0,RIGHT_ELBOW,61.86593285094859,18.27566927928055,93
CapturedFrames_-3.0_0.5_2.0,LEFT_ELBOW,-61.71693702788625,17.750492677939324,76
CapturedFrames_-3.0_0.5_2.0,RIGHT_ELBOW,62.673938834931555,14.911595406683329,76
CapturedFrames_-3.0_0.5_3.0,LEFT_ELBOW,-62.822161766231936,14.565506064419113,59
CapturedFrames_-3.0_0.5_3.0,RIGHT_ELBOW,67.67804856381579,12.52672472074706,59
CapturedFrames_-3.0_0.5_4.0,LEFT_ELBOW,-68.94228722074523,11.327838781259281,38
CapturedFrames_-3.0_0.5_4.0,RIGHT_ELBOW,71.74142552418073,12.88481572248735,38
CapturedFrames_-3.0_0.5_5.0,LEFT_ELBOW,-70.77023190208584,9.464319618934905,25
CapturedFrames_-3.0_0.5_5.0,RIGHT_ELBOW,70.95395492761152,14.306266989226206,25
CapturedFrames_-3.0_0.5_6.0,LEFT_ELBOW,-78.91331124883912,3.396800618038597,7
CapturedFrames_-3.0_0.5_6.0,RIGHT_ELBOW,82.36996492550608,1.443773035889654,7
CapturedFrames_-3.0_1.0_-1.0,LEFT_ELBOW,-36.67757245764668,17.24104271148252,82
