frame_id,camera,joint,gt_x,gt_y,gt_z,mp_x,mp_y,mp_z,theta_gt_deg,theta_mp_deg,delta_theta_deg,psi_gt_deg,psi_mp_deg,delta_psi_deg,error_3d,abs_delta_theta
1,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.2378219999999999,0.1707449999999999,0.01913,-0.0379667803645134,0.050011783838272,-0.1241749674081802,35.6765671965658,127.2041939970376,91.5276268004718,4.5988740561914,-107.00113212028856,-111.60000617647998,0.333425065859722,91.5276268004718
17,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.244231,0.1872239999999999,-0.0016980000000001,-0.0368142873048782,0.0451136901974678,-0.1394412331283092,37.473258891050456,129.2156009776269,91.74234208657649,-0.3983387290700894,-104.7893697102016,-104.39103098113152,0.3437368062065697,91.74234208657649
18,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.239474,0.1848229999999999,-0.0319509999999998,-0.0379999130964279,0.0466126427054404,-0.1238619070500135,37.66050508830181,129.18786919187437,91.52736410357257,-7.599611285015133,-107.0556245042728,-99.45601321925768,0.3233287648003036,91.52736410357257
19,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.234047,0.184304,-0.0591589999999997,-0.0370891094207763,0.0436015427112578,-0.1134173665195703,38.21922135100287,130.3857367888267,92.16651543782382,-14.18527535190294,-108.1084888924949,-93.92321354059196,0.310251416848171,92.16651543782382
20,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.226895,0.185568,-0.0835190000000003,-0.0385579243302345,0.0457108169794082,-0.1073124930262565,39.27830792569216,130.14825404219542,90.86994611650324,-20.20842780933848,-109.76362089787251,-89.55519308853405,0.3009840809549884,90.86994611650324
28,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.21932,0.174095,-0.1025869999999999,-0.0368153601884841,0.0449100509285927,-0.1318094376474618,38.44235133461661,129.34345063639316,90.90109930177654,-25.067857559393904,-105.60544533093326,-80.53758777153936,0.2883539919396408,90.90109930177654
29,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.223207,0.1718800000000001,-0.080068,-0.0350712984800338,0.0453000217676162,-0.1642486657947302,37.597980893676976,127.74705361134076,90.14907271766378,-19.733740127598605,-102.05311245840912,-82.31937233081051,0.2996941021253109,90.14907271766378
61,CapturedFrames_3.0_1.0_1.0,RIGHT_ELBOW,0.2284749999999999,0.170783,-0.0511569999999999,-0.0011574327945709,-0.0864557027816773,-0.0489108018227852,36.77778251781952,-90.7670061153895,-127.54478863320902,-12.620726603499064,-91.3556032015006,-78.73487659800152,0.3448301753127248,127.54478863320902
27,CapturedFrames_3.0_1.0_2.0,RIGHT_ELBOW,0.213768,0.1788509999999998,-0.1192969999999999,-0.0297001749277115,0.0341765135526656,-0.0932998722419142,39.9178535291968,130.99139047112922,91.07353694193242,-29.164471775870084,-107.65784838875334,-78.49337661288327,0.2843999118901074,91.07353694193242
28,CapturedFrames_3.0_1.0_2.0,RIGHT_ELBOW,0.219237,0.1741429999999999,-0.102894,-0.0310503840446472,0.0368798822164535,-0.0933529324829578,38.4606049294055,130.095126954559,91.6345220251535,-25.141966553371944,-108.3977877185448,-83.25582116517285,0.2856150732803456,91.6345220251535
30,CapturedFrames_3.0_1.0_2.0,RIGHT_ELBOW,0.228388,0.1707959999999999,-0.0516240000000001,-0.0297147631645203,0.0383767038583755,-0.1181488530710339,36.7903391998191,127.75032128873475,90.95998208891568,-12.736890635525723,-104.1172520037363,-91.38036136821056,0.2976196606743686,90.95998208891568
