folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,mean_cos_phi,mean_abs_cos_phi,mean_error_dot_mc,mean_error_norm,median_abs_cos_phi
CapturedFrames_1.0_0.5_3.0,1.0,0.5,3.0,Y=0.5,0,N,RIGHT_WRIST,60,-0.781102924344913,0.7900799328816634,-1.7081067124499707,0.6387372216710496,0.8930362614192329
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,LEFT_ANKLE,52,0.5612959995764492,0.6706651553667637,1.2155956519252418,0.5155206836598176,0.9215986421071071
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,LEFT_ELBOW,52,0.26595697803885365,0.47923572738482256,0.3066506844175777,0.43744847982222407,0.4190053646471929
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,LEFT_KNEE,52,0.14470300339409953,0.4130652421949842,0.07726454119766529,0.3296637429066796,0.32310053993237314
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,LEFT_SHOULDER,52,0.006146709424703644,0.4835024110505304,-0.0541908148850544,0.22982877334293914,0.5355149373114394
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,LEFT_WRIST,52,-0.08936998092400718,0.5702721319059776,-0.5394475774267119,0.6140146377659537,0.637119712055352
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,RIGHT_ANKLE,52,-0.23680539171813386,0.6532085631763133,-0.2287386231468787,0.5138631476270167,0.7262600866911522
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,RIGHT_ELBOW,52,-0.6796876273685408,0.685293393812924,-1.0775964886535925,0.4817618859585466,0.8286274107759528
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,RIGHT_KNEE,52,-0.7866411379006149,0.8074206232022884,-1.2377774349939643,0.4597893456204647,0.9589846107065738
CapturedFrames_1.0_0.5_4.0,1.0,0.5,4.0,Y=0.5,0,N,RIGHT_SHOULDER,52,-0.793533005239287,0.8437046271570693,-0.9383992376421373,0.35636531031124935,0.8690565955540119
