height_label,azimuth_bin,azimuth_label,joint,n,mean_cos_phi,mean_abs_cos_phi,mean_error_norm
Y=0.5,2,E,RIGHT_ELBOW,742,-0.4767939623407026,0.5450874807891666,0.5654328773980962
Y=0.5,2,E,RIGHT_KNEE,742,-0.37200478478110477,0.4786234879133612,0.3654747825678588
Y=0.5,2,E,RIGHT_SHOULDER,742,-0.11532773595822984,0.38986912864638495,0.4224794494377459
Y=0.5,2,E,RIGHT_WRIST,742,-0.4259011384810477,0.5475854171409944,0.6513312046126906
Y=0.5,3,SE,LEFT_ANKLE,530,0.08159336688333306,0.3912441691092901,0.4842977756556601
Y=0.5,3,SE,LEFT_ELBOW,530,0.3438489447981072,0.4101470049815512,0.26948835369163765
Y=0.5,3,SE,LEFT_KNEE,530,0.32576066951997384,0.46816623036288957,0.2907938566898156
Y=0.5,3,SE,LEFT_SHOULDER,530,-0.19627067015186628,0.35920157657692403,0.1745819134624802
Y=0.5,3,SE,LEFT_WRIST,530,0.5314465887555804,0.61296314659446,0.2754958918462873
Y=0.5,3,SE,RIGHT_ANKLE,530,-0.29885563920886915,0.5819285923584696,0.3105291340142066
Y=0.5,3,SE,RIGHT_ELBOW,530,0.020779149682194617,0.2923828713827229,0.4641818850877274
Y=0.5,3,SE,RIGHT_KNEE,530,0.09308792230317216,0.36143764469166106,0.2979162028146808
Y=0.5,3,SE,RIGHT_SHOULDER,530,0.43898253021577105,0.47260921828210506,0.35732518722037815
Y=0.5,3,SE,RIGHT_WRIST,530,0.07246957035523621,0.3713805540697307,0.5134549092993452
Y=0.5,4,S,LEFT_ANKLE,729,-0.034492961695156026,0.7212675585167863,0.31045583320761055
Y=0.5,4,S,LEFT_ELBOW,729,0.31335461873235637,0.5350693970834485,0.21888606896330143
Y=0.5,4,S,LEFT_KNEE,729,0.26925634726305636,0.6042434254071593,0.2005259047306169
Y=0.5,4,S,LEFT_SHOULDER,729,0.30260536799502635,0.6911690466474166,0.19020481094485214
Y=0.5,4,S,LEFT_WRIST,729,0.27206141179237814,0.6690103283617062,0.24810128716483082
Y=0.5,4,S,RIGHT_ANKLE,729,-0.21203531827736224,0.7786374643829739,0.3209709296858327
Y=0.5,4,S,RIGHT_ELBOW,729,0.2718106767198562,0.5136012440803831,0.22812029915913826
Y=0.5,4,S,RIGHT_KNEE,729,0.14899622434446763,0.639889325455717,0.2129097048991235
Y=0.5,4,S,RIGHT_SHOULDER,729,0.38725461026757674,0.7354121612948391,0.2009556335727356
Y=0.5,4,S,RIGHT_WRIST,729,0.28348722512624397,0.6631007001124848,0.2695774480814075
Y=0.5,5,SW,LEFT_ANKLE,741,-0.07343753960815708,0.5600273914549201,0.3500655679994321
Y=0.5,5,SW,LEFT_ELBOW,741,0.09933948244761118,0.3282668107519013,0.42534778074350144
Y=0.5,5,SW,LEFT_KNEE,741,0.1488251656046195,0.4127118270900843,0.29827731838632776
Y=0.5,5,SW,LEFT_SHOULDER,741,0.5142699806759168,0.5483817022341886,0.3274069878881071
Y=0.5,5,SW,LEFT_WRIST,741,0.08749185305787106,0.4526222512753958,0.4467233088197392
Y=0.5,5,SW,RIGHT_ANKLE,741,-0.02154014543242946,0.3773400666069071,0.4832582433816753
Y=0.5,5,SW,RIGHT_ELBOW,741,0.2890743660670557,0.41160734920541203,0.2831082840633427
Y=0.5,5,SW,RIGHT_KNEE,741,0.2319915475794636,0.42266128178911383,0.28536385188407704
Y=0.5,5,SW,RIGHT_SHOULDER,741,-0.2832766117165741,0.38968281588743486,0.18263146279728745
Y=0.5,5,SW,RIGHT_WRIST,741,0.5483289135100273,0.6396685156111713,0.3180745284501481
Y=0.5,6,W,LEFT_ANKLE,982,-0.26561941363833963,0.42315940941675473,0.42949269460192824
Y=0.5,6,W,LEFT_ELBOW,982,-0.41632072393457054,0.5038531216016754,0.5311707929807626
Y=0.5,6,W,LEFT_KNEE,982,-0.3261257564361712,0.4562330588235078,0.35731604383071647
Y=0.5,6,W,LEFT_SHOULDER,982,-0.062242316910657416,0.39638580336998064,0.40521394540480904
Y=0.5,6,W,LEFT_WRIST,982,-0.3567812359433517,0.5421588057624849,0.5823611124927371
